epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2886.84,1.77457,8.73714,2.02231,0.50393,0.45847,0.46844,0.37932,1.73176,7.30145,1.9996,0.000368892,0.000368892,0.000368892
2,5627.93,1.87586,5.37135,2.0593,0.61832,0.54921,0.59941,0.46458,1.85518,4.5387,2.00616,0.000666042,0.000666042,0.000666042
3,8363.46,1.8499,3.48895,2.05645,0.70916,0.55974,0.65087,0.47818,1.9535,3.2508,2.07944,0.000889866,0.000889866,0.000889866
4,14640.8,1.75182,2.61919,2.01262,0.71185,0.61006,0.67453,0.5295,1.69688,2.7607,1.98064,0.000781033,0.000781033,0.000781033
5,18316.4,1.70129,2.22833,1.98032,0.73656,0.65772,0.74561,0.6064,1.5614,2.21561,1.89513,0.000671044,0.000671044,0.000671044
6,21217.6,1.59069,1.89827,1.93616,0.81259,0.70321,0.80085,0.6435,1.61235,1.81597,1.8973,0.000561055,0.000561055,0.000561055
7,24266.1,1.52298,1.72377,1.89898,0.82504,0.71566,0.81059,0.66811,1.50426,1.7019,1.86456,0.000451066,0.000451066,0.000451066
8,26956,1.43564,1.56972,1.85743,0.83171,0.74144,0.82849,0.68842,1.46039,1.61481,1.839,0.000341077,0.000341077,0.000341077
9,32101.7,1.39158,1.42618,1.83925,0.8538,0.75769,0.85633,0.719,1.42967,1.39638,1.80991,0.000231088,0.000231088,0.000231088
